N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
193,TIGER 25-10 회사채(A+이상)액티브,"55,255",상승10,+0.02%,0,"17,117","30,978",0.20,"67,588",N/A,N/A,
194,신세계,"176,900","상승5,600",+3.27%,"5,000","17,062","9,645",12.87,"44,122",27.85,2.54,
195,현대백화점,"74,000","상승4,900",+7.09%,"5,000","16,745","22,629",23.80,"194,442",-47.04,-0.81,
196,GS건설,"19,540",상승140,+0.72%,"5,000","16,723","85,581",22.53,"302,093",12.03,5.63,
197,ACE 미국나스닥100,"24,460",하락160,-0.65%,0,"16,633","68,000",0.00,"432,497",N/A,N/A,
198,RISE 종합채권(A-이상)액티브,"110,675",상승25,+0.02%,0,"16,368","14,789",0.00,"2,697",N/A,N/A,
199,한국카본,"31,250",보합0,0.00%,500,"16,221","51,908",12.76,"429,051",38.49,4.38,
200,HL만도,"34,400",하락250,-0.72%,"1,000","16,153","46,957",23.74,"180,348",88.66,5.47,
201,녹십자,"137,100","하락1,100",-0.80%,"5,000","16,022","11,687",21.47,"63,205",55.78,-2.06,
202,오뚜기,"399,500","상승3,500",+0.88%,"5,000","16,011","4,008",11.82,"5,786",13.08,6.86,
203,대우건설,"3,840",상승75,+1.99%,"5,000","15,960","415,623",11.34,"933,686",7.92,5.62,
204,대웅제약,"136,400","하락3,600",-2.57%,"2,500","15,804","11,587",9.12,"94,865",41.07,3.17,
205,HDC현대산업개발,"23,850",상승150,+0.63%,"5,000","15,719","65,907",15.34,"374,024",8.76,5.09,
206,두산우,"393,000","하락3,000",-0.76%,"5,000","15,706","3,996",2.58,"18,313",-40.56,N/A,
207,TIGER MSCI Korea TR,"18,010",하락65,-0.36%,0,"15,705","87,200",0.00,"6,221",N/A,N/A,
208,KODEX 단기채권PLUS,"115,150",상승10,+0.01%,0,"15,703","13,637",0.01,"35,806",N/A,N/A,
209,두산퓨얼셀,"23,650",상승950,+4.19%,100,"15,489","65,494",10.44,"661,270",-94.98,N/A,
210,이수스페셜티케미컬,"51,100","상승4,900",+10.61%,"1,000","15,436","30,208",5.84,"1,971,283",106.24,9.70,
211,KODEX 200선물인버스2X,"1,307",상승1,+0.08%,0,"15,382","1,176,900",0.94,"327,904,220",N/A,N/A,
212,TIGER 차이나전기차SOLACTIVE,"9,460",상승10,+0.11%,0,"15,352","162,280",0.29,"549,328",N/A,N/A,
213,에스엘,"32,900",상승300,+0.92%,500,"15,282","46,449",15.03,"90,263",4.34,17.42,
214,다우기술,"33,700",상승150,+0.45%,500,"15,120","44,867",25.29,"53,507",4.26,13.16,
215,DN오토모티브,"25,800",하락600,-2.27%,100,"15,096","58,511",3.58,"141,324",4.92,19.78,
216,RISE 200,"43,520",하락45,-0.10%,0,"15,036","34,550",0.03,"626,516",N/A,N/A,
217,엠앤씨솔루션,"163,300","하락5,600",-3.32%,100,"14,948","9,154",6.42,"44,948",48.60,21.82,
